beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.5,0.05,s00_on,37:d(item_3),1,0,66,0,66,0.995,"d(item_3):37(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.5,0.1,s40_on,118:coffee,1,0,105,0,156,0.992,"d(item_3):never(max 0.64) coffee:118(no-grasp,grasp None) d(item_6):never(max 0.00)",0.978,0.796,66,0.001,0.001,0.001->0.001,True,0.052,0.982,0.052,0,unknown 0.990 (item_6 0.001)
0.5,0.1,s30_on,45:d(item_3),1,0,49,0,81,0.995,"d(item_3):45(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.5,0.1,s00_on,44:d(item_3),1,0,66,0,59,0.995,"d(item_3):44(post-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.5,0.2,s40_on,184:unknown!,1,1,105,0,90,0.993,d(item_3):never(max 0.60) coffee:never(max 0.67) d(item_6):never(max 0.00),0.986,0.669,0,0.001,0.001,0.001->0.001,True,0.026,0.988,0.026,0,unknown 0.992 (item_6 0.001)
0.5,0.2,s30_on,46:d(item_3),1,0,49,0,82,0.995,"d(item_3):46(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.5,0.2,s00_on,45:d(item_3),1,0,66,0,58,0.995,"d(item_3):45(post-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.5,0.35,s40_on,184:unknown!,1,1,105,0,90,0.993,d(item_3):never(max 0.55) coffee:never(max 0.54) d(item_6):never(max 0.00),0.989,0.54,0,0.001,0.001,0.001->0.001,True,0.015,0.991,0.015,0,unknown 0.993 (item_6 0.001)
0.5,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.74) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
0.5,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.74) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
0.5,0.5,s40_on,184:unknown!,1,1,105,0,90,0.993,d(item_3):never(max 0.51) coffee:never(max 0.45) d(item_6):never(max 0.00),0.99,0.453,0,0.001,0.001,0.001->0.001,True,0.011,0.992,0.011,0,unknown 0.993 (item_6 0.001)
0.5,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.66) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
0.5,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
1.0,0.01,s40_on,73:d(item_3),1,0,107,2,199,0.993,"d(item_3):73(post-grasp,grasp 60) coffee:117(no-grasp,grasp None) d(item_6):never(max 0.00)",0.993,0.925,67,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.01,s30_on,43:d(item_3),1,0,49,0,79,0.995,"d(item_3):43(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.01,s00_on,21:d(item_3),1,0,66,0,82,0.995,"d(item_3):21(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.02,s40_on,76:d(item_3),1,0,107,2,196,0.993,"d(item_3):76(post-grasp,grasp 60) coffee:117(no-grasp,grasp None) d(item_6):never(max 0.00)",0.993,0.864,67,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.02,s30_on,43:d(item_3),1,0,49,0,79,0.995,"d(item_3):43(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.02,s00_on,21:d(item_3),1,0,66,0,82,0.995,"d(item_3):21(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.05,s40_on,84:d(item_3) 184:unknown!,2,1,105,0,121,0.993,"d(item_3):84(post-grasp,grasp 60) coffee:never(max 0.72) d(item_6):never(max 0.00)",0.993,0.723,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.05,s30_on,43:d(item_3),1,0,49,0,79,0.995,"d(item_3):43(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.05,s00_on,22:d(item_3),1,0,66,0,81,0.995,"d(item_3):22(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.1,s40_on,95:d(item_3) 184:unknown!,2,1,105,0,110,0.993,"d(item_3):95(post-grasp,grasp 60) coffee:never(max 0.57) d(item_6):never(max 0.00)",0.993,0.568,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.1,s30_on,43:d(item_3),1,0,49,0,79,0.995,"d(item_3):43(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.1,s00_on,24:d(item_3),1,0,66,0,79,0.995,"d(item_3):24(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.2,s40_on,184:unknown!,1,1,105,0,90,0.993,d(item_3):never(max 0.75) coffee:never(max 0.40) d(item_6):never(max 0.00),0.993,0.397,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.2,s30_on,44:d(item_3),1,0,49,0,80,0.995,"d(item_3):44(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.2,s00_on,29:d(item_3),1,0,66,0,74,0.995,"d(item_3):29(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
1.0,0.35,s40_on,184:unknown!,1,1,105,0,90,0.993,d(item_3):never(max 0.67) coffee:never(max 0.27) d(item_6):never(max 0.00),0.993,0.274,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.74) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
1.0,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.74) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
1.0,0.5,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.61) coffee:never(max 0.21) d(item_6):never(max 0.00),0.993,0.209,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
1.0,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.66) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
1.0,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
2.0,0.01,s40_on,47:d(item_3) 184:unknown!,2,1,105,0,158,0.993,"d(item_3):47(pre-grasp,grasp 60) coffee:never(max 0.50) d(item_6):never(max 0.00)",0.993,0.5,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
2.0,0.01,s30_on,42:d(item_3),1,0,49,0,78,0.995,"d(item_3):42(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.01,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.02,s40_on,47:d(item_3) 184:unknown!,2,1,105,0,158,0.993,"d(item_3):47(pre-grasp,grasp 60) coffee:never(max 0.33) d(item_6):never(max 0.00)",0.993,0.334,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
2.0,0.02,s30_on,42:d(item_3),1,0,49,0,78,0.995,"d(item_3):42(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.02,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.05,s40_on,49:d(item_3),1,0,174,0,156,0.993,"d(item_3):49(pre-grasp,grasp 60) coffee:never(max 0.17) d(item_6):never(max 0.00)",0.993,0.168,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
2.0,0.05,s30_on,42:d(item_3),1,0,49,0,78,0.995,"d(item_3):42(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.05,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.1,s40_on,52:d(item_3),1,0,174,0,153,0.993,"d(item_3):52(pre-grasp,grasp 60) coffee:never(max 0.09) d(item_6):never(max 0.00)",0.993,0.092,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
2.0,0.1,s30_on,42:d(item_3),1,0,49,0,78,0.995,"d(item_3):42(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.1,s00_on,15:d(item_3),1,0,66,0,88,0.995,"d(item_3):15(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.2,s40_on,63:d(item_3),1,0,174,0,142,0.993,"d(item_3):63(post-grasp,grasp 60) coffee:never(max 0.05) d(item_6):never(max 0.00)",0.993,0.048,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
2.0,0.2,s30_on,42:d(item_3),1,0,49,0,78,0.995,"d(item_3):42(post-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.2,s00_on,18:d(item_3),1,0,66,0,85,0.995,"d(item_3):18(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
2.0,0.35,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.73) coffee:never(max 0.03) d(item_6):never(max 0.00),0.993,0.028,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
