condition,variant,ac_max_184_271,ac_most_likely_ticks_184_271,at_272,coffee_max_seg2,coffee_theta_ticks_seg2,correct_theta_ticks,crossings,deliver_max_seg2,item6_3a_end,item6_3b_falls,item6_3b_start_end,max_conf,max_task_seg3,n_cross,n_wrong_cross,reveals,unknown_end_seg3,unknown_when_idle,wrong_theta_task_ticks,wrong_theta_ticks
s40_off,reset_origin,0.904,45,unknown 0.835 (item_6 0.001),0.904,54,166,19:d(item_3) 125:coffee 151:coffee 185:ac! 214:unknown 268:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.904,6,2,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.992,0.301,75,154
s40_on,reset_origin,0.904,26,unknown 0.993 (item_6 0.001),0.904,59,171,19:d(item_3) 125:coffee 214:unknown,0.001,0.001,False,0.001->0.001,0.993,0.904,3,0,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.992,0.301,63,167
s00_off,reset_boundary,,,,,,59,47:d(item_3) 117:d(item_2),,,,,0.995,,2,0,"d(item_3):47(post-grasp,grasp 41) d(item_2):117(post-grasp,grasp 111)",,0.199,24,24
s00_on,reset_boundary,,,,,,154,11:d(item_3),,,,,0.995,,1,0,"d(item_3):11(pre-grasp,grasp 41) d(item_2):80(pre-grasp,grasp 111)",,0.995,2,4
s20_off,reset_boundary,,,,,,47,31:d(item_3) 96:d(item_2) 136:d(item_7)!,,,,,0.905,,3,1,"d(item_3):31(post-grasp,grasp 22) d(item_2):96(post-grasp,grasp 89)",,0.062,6,6
s20_on,reset_boundary,,,,,,190,6:d(item_3),,,,,0.995,,1,0,"d(item_3):6(pre-grasp,grasp 22) d(item_2):56(pre-grasp,grasp 89)",,0.995,2,4
s30_off,reset_boundary,,,,,,71,28:d(item_3) 96:d(item_7) 156:d(item_6)!,,,,,0.905,,3,1,"d(item_3):28(pre-grasp,grasp 39) d(item_7):96(pre-grasp,grasp 98)",,0.055,7,7
s30_on,reset_boundary,,,,,,135,21:d(item_3),,,,,0.995,,1,0,"d(item_3):21(pre-grasp,grasp 39) d(item_7):76(pre-grasp,grasp 98)",,0.995,2,4
s40_off,reset_boundary,0.321,4,d(item_6) 0.820 (item_6 0.820),0.779,2,165,19:d(item_3) 143:coffee 226:unknown 268:d(item_6) 376:ac!,0.243,0.385,True,0.388->0.068,0.904,0.462,5,1,"d(item_3):19(pre-grasp,grasp 60) coffee:143(no-grasp,grasp None) d(item_6):268(pre-grasp,grasp 272)",0.751,0.115,7,20
s40_on,reset_boundary,0.474,3,unknown 0.911 (item_6 0.083),0.898,49,152,19:d(item_3) 135:coffee 203:d(item_6)! 223:unknown,0.474,0.79,True,0.790->0.083,0.911,0.8,4,1,"d(item_3):19(pre-grasp,grasp 60) coffee:135(no-grasp,grasp None) d(item_6):never(max 0.08)",0.91,0.182,59,160
s00_off,costdif2,,,,,,52,51:d(item_3),,,,,0.995,,1,0,"d(item_3):51(post-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s00_on,costdif2,,,,,,81,22:d(item_3),,,,,0.995,,1,0,"d(item_3):22(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
