beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.002,0.05,s30_on,53:d(item_3) 121:unknown!,2,1,2,0,89,0.995,"d(item_3):53(post-grasp,grasp 39) d(item_7):never(max 0.59)",0.995,,,,,,,,,,,
0.002,0.05,s00_on,32:d(item_3) 142:unknown!,2,1,2,0,76,0.995,"d(item_3):32(pre-grasp,grasp 41) d(item_2):never(max 0.30)",0.995,,,,,,,,,,,
0.002,0.1,s40_on,57:d(item_3) 139:unknown!,2,1,150,0,148,0.993,"d(item_3):57(pre-grasp,grasp 60) coffee:never(max 0.21) d(item_6):never(max 0.00)",0.987,0.209,0,0.009,0.006,0.006->0.003,True,0.016,0.99,0.016,0,unknown 0.991 (item_6 0.003)
0.002,0.1,s30_on,56:d(item_3) 121:unknown!,2,1,2,0,92,0.995,"d(item_3):56(post-grasp,grasp 39) d(item_7):never(max 0.42)",0.995,,,,,,,,,,,
0.002,0.1,s00_on,35:d(item_3),1,0,66,0,68,0.995,"d(item_3):35(pre-grasp,grasp 41) d(item_2):never(max 0.18)",0.995,,,,,,,,,,,
0.002,0.2,s40_on,84:d(item_3),1,0,174,0,121,0.993,"d(item_3):84(post-grasp,grasp 60) coffee:never(max 0.12) d(item_6):never(max 0.00)",0.99,0.118,0,0.005,0.003,0.003->0.001,True,0.008,0.992,0.008,0,unknown 0.993 (item_6 0.001)
0.002,0.2,s30_on,65:d(item_3) 121:unknown!,2,1,2,0,86,0.995,"d(item_3):65(post-grasp,grasp 39) d(item_7):never(max 0.27)",0.995,,,,,,,,,,,
0.002,0.2,s00_on,49:d(item_3),1,0,66,0,54,0.995,"d(item_3):49(post-grasp,grasp 41) d(item_2):never(max 0.10)",0.995,,,,,,,,,,,
0.002,0.35,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.71) coffee:never(max 0.07) d(item_6):never(max 0.00),0.992,0.071,0,0.003,0.002,0.002->0.001,True,0.005,0.993,0.005,0,unknown 0.993 (item_6 0.001)
0.002,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.70) d(item_7):never(max 0.17),0.995,,,,,,,,,,,
0.002,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.73) d(item_2):never(max 0.06),0.995,,,,,,,,,,,
0.002,0.5,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.64) coffee:never(max 0.05) d(item_6):never(max 0.00),0.992,0.051,0,0.002,0.001,0.001->0.001,True,0.003,0.993,0.003,0,unknown 0.993 (item_6 0.001)
0.002,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.63) d(item_7):never(max 0.13),0.995,,,,,,,,,,,
0.002,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.04),0.995,,,,,,,,,,,
0.005,0.01,s40_on,27:d(item_3),1,0,174,0,178,0.993,"d(item_3):27(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.004,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
0.005,0.01,s30_on,28:d(item_3),1,0,49,0,82,0.995,"d(item_3):28(pre-grasp,grasp 39) d(item_7):never(max 0.04)",0.995,,,,,,,,,,,
0.005,0.01,s00_on,15:d(item_3),1,0,66,0,88,0.995,"d(item_3):15(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.02,s40_on,27:d(item_3),1,0,174,0,178,0.993,"d(item_3):27(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.002,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
0.005,0.02,s30_on,28:d(item_3),1,0,49,0,82,0.995,"d(item_3):28(pre-grasp,grasp 39) d(item_7):never(max 0.02)",0.995,,,,,,,,,,,
0.005,0.02,s00_on,16:d(item_3),1,0,66,0,87,0.995,"d(item_3):16(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.05,s40_on,28:d(item_3),1,0,174,0,177,0.993,"d(item_3):28(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
0.005,0.05,s30_on,29:d(item_3),1,0,49,0,81,0.995,"d(item_3):29(pre-grasp,grasp 39) d(item_7):never(max 0.01)",0.995,,,,,,,,,,,
0.005,0.05,s00_on,16:d(item_3),1,0,66,0,87,0.995,"d(item_3):16(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.1,s40_on,30:d(item_3),1,0,174,0,175,0.993,"d(item_3):30(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
0.005,0.1,s30_on,31:d(item_3),1,0,49,0,79,0.995,"d(item_3):31(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.1,s00_on,18:d(item_3),1,0,66,0,85,0.995,"d(item_3):18(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.2,s40_on,35:d(item_3),1,0,174,0,170,0.993,"d(item_3):35(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,True,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
0.005,0.2,s30_on,36:d(item_3),1,0,49,0,75,0.995,"d(item_3):36(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.2,s00_on,21:d(item_3),1,0,66,0,82,0.995,"d(item_3):21(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
