condition,step,trigger,hypothesis_matches_actual,candidate,is_current_task,is_winner,cost,T_r,T_h,min_d,s,hold_first_conflict_t,hold_position_within_s,status,delta,delta_over_cost,unchecked_share_at_delta,n_viol_at_delta_minus_1,n_pushed_past_T_h,n_separated,clears_via_tail,clears_via_tail_only,delta_ext_human_held_at_end,max_delta_searched
s00_on,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,25,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_on,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,50,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_on,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,100,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_on,81,theta_crossed,True,item_6,True,True,222,221.7,1178.9,154.79,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1178
s00_on,81,theta_crossed,True,item_6,True,True,222,221.7,1178.9,154.79,25,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1178
s00_on,81,theta_crossed,True,item_6,True,True,222,221.7,1178.9,154.79,50,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1178
s00_on,81,theta_crossed,True,item_6,True,True,222,221.7,1178.9,154.79,100,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1178
s00_on,81,theta_crossed,True,item_4,False,False,1828,1828.3,1178.9,203.16,10,,False,cleared,0,0.0,0.3552009344445016,0,0,0,False,False,unresolvable,1178
s00_on,81,theta_crossed,True,item_4,False,False,1828,1828.3,1178.9,203.16,25,,False,cleared,0,0.0,0.3552009344445016,0,0,0,False,False,unresolvable,1178
s00_on,81,theta_crossed,True,item_4,False,False,1828,1828.3,1178.9,203.16,50,,False,cleared,0,0.0,0.3552009344445016,0,0,0,False,False,unresolvable,1178
s00_on,81,theta_crossed,True,item_4,False,False,1828,1828.3,1178.9,203.16,100,,False,cleared,0,0.0,0.3552009344445016,0,0,0,False,False,unresolvable,1178
s00_on,95,no_current_task,True,item_4,False,True,1426,1425.8,898.9,139.75,10,,False,cleared,0,0.0,0.36953966820877093,0,0,0,False,False,unresolvable,898
s00_on,95,no_current_task,True,item_4,False,True,1426,1425.8,898.9,139.75,25,882.0,True,cleared,0,0.0,0.36953966820877093,0,0,0,False,False,unresolvable,898
s00_on,95,no_current_task,True,item_4,False,True,1426,1425.8,898.9,139.75,50,850.0,True,cleared,0,0.0,0.36953966820877093,0,0,0,False,False,unresolvable,898
s00_on,95,no_current_task,True,item_4,False,True,1426,1425.8,898.9,139.75,100,798.0,True,cleared,0,0.0,0.36953966820877093,0,0,0,False,False,unresolvable,898
s00_on,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,10,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_on,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,25,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_on,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,50,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_on,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,100,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s10_off,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1333
s10_off,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,25,,False,cleared,51,0.0389908256880734,0.0197309924664363,7,1,6,True,False,unresolvable,1333
s10_off,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,50,,False,cleared,76,0.0581039755351682,0.03883971521497103,8,1,7,True,False,unresolvable,1333
s10_off,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,100,,False,cleared,126,0.0963302752293578,0.0770571607120405,8,1,7,True,False,unresolvable,1333
s10_off,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_off,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,25,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_off,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,50,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_off,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,100,,False,cleared,165,0.13865546218487396,0.08519809820006803,1,1,0,True,True,unresolvable,1253
s10_on,107,theta_crossed,False,item_1,True,True,1820,1820.4,1379.6,89.56,10,,False,cleared,0,0.0,0.24215481765788188,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_1,True,True,1820,1820.4,1379.6,89.56,25,,False,cleared,0,0.0,0.24215481765788188,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_1,True,True,1820,1820.4,1379.6,89.56,50,,False,cleared,0,0.0,0.24215481765788188,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_1,True,True,1820,1820.4,1379.6,89.56,100,,False,cleared,13,0.007142857142857143,0.24929591852109007,13,0,13,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_5,False,False,2655,2654.6,1379.6,189.08,10,,False,cleared,0,0.0,0.48028965402292295,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_5,False,False,2655,2654.6,1379.6,189.08,25,,False,cleared,0,0.0,0.48028965402292295,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_5,False,False,2655,2654.6,1379.6,189.08,50,,False,cleared,0,0.0,0.48028965402292295,0,0,0,False,False,unresolvable,1379
s10_on,107,theta_crossed,False,item_5,False,False,2655,2654.6,1379.6,189.08,100,,False,cleared,0,0.0,0.48028965402292295,0,0,0,False,False,unresolvable,1379
s10_on,142,task_committed,False,item_1,True,True,1110,1109.7,1403.8,6.96,10,,False,cleared,4,0.0036036036036036037,0.0,6,0,6,False,False,4,1403
s10_on,142,task_committed,False,item_1,True,True,1110,1109.7,1403.8,6.96,25,,False,cleared,23,0.02072072072072072,0.0,2,0,2,False,False,23,1403
s10_on,142,task_committed,False,item_1,True,True,1110,1109.7,1403.8,6.96,50,,False,cleared,53,0.047747747747747746,0.0,12,0,12,False,False,53,1403
s10_on,142,task_committed,False,item_1,True,True,1110,1109.7,1403.8,6.96,100,,False,cleared,114,0.10270270270270271,0.0,18,0,18,False,False,114,1403
s10_on,142,task_committed,False,item_5,False,False,3198,3198.0,1403.8,4.01,10,,False,cleared,15,0.004690431519699813,0.5657209295396713,12,0,12,False,False,unresolvable,1403
s10_on,142,task_committed,False,item_5,False,False,3198,3198.0,1403.8,4.01,25,,False,cleared,31,0.00969355847404628,0.5707240389871986,14,0,14,False,False,unresolvable,1403
s10_on,142,task_committed,False,item_5,False,False,3198,3198.0,1403.8,4.01,50,,False,cleared,152,0.047529706066291436,0.6085600541841238,9,0,9,False,False,unresolvable,1403
s10_on,142,task_committed,False,item_5,False,False,3198,3198.0,1403.8,4.01,100,,False,cleared,209,0.06535334584115073,0.6263836315909399,12,0,12,False,False,unresolvable,1403
s10_on,200,no_current_task,False,item_5,False,True,2448,2448.3,1278.0,661.3,10,,False,cleared,0,0.0,0.47801729301720164,0,0,0,False,False,unresolvable,1277
s10_on,200,no_current_task,False,item_5,False,True,2448,2448.3,1278.0,661.3,25,1228.0,True,cleared,0,0.0,0.47801729301720164,0,0,0,False,False,unresolvable,1277
s10_on,200,no_current_task,False,item_5,False,True,2448,2448.3,1278.0,661.3,50,1202.0,True,cleared,0,0.0,0.47801729301720164,0,0,0,False,False,unresolvable,1277
s10_on,200,no_current_task,False,item_5,False,True,2448,2448.3,1278.0,661.3,100,1151.0,True,cleared,0,0.0,0.47801729301720164,0,0,0,False,False,unresolvable,1277
s10_on,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1333
s10_on,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,25,,False,cleared,51,0.0389908256880734,0.0197309924664363,7,1,6,True,False,unresolvable,1333
s10_on,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,50,,False,cleared,76,0.0581039755351682,0.03883971521497103,8,1,7,True,False,unresolvable,1333
s10_on,257,theta_crossed,True,item_5,True,True,1308,1308.3,1333.5,24.49,100,,False,cleared,126,0.0963302752293578,0.0770571607120405,8,1,7,True,False,unresolvable,1333
s10_on,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_on,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,25,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_on,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,50,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,1253
s10_on,262,task_committed,True,item_5,True,True,1190,1189.9,1253.5,63.49,100,,False,cleared,165,0.13865546218487396,0.08519809820006803,1,1,0,True,True,unresolvable,1253
s20_off,22,theta_crossed,True,item_4,True,True,612,612.3,595.9,16.31,10,,False,cleared,0,0.0,0.026872627427183302,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_4,True,True,612,612.3,595.9,16.31,25,,False,cleared,9,0.014705882352941176,0.04157109365975255,11,1,10,True,False,unresolvable,595
s20_off,22,theta_crossed,True,item_4,True,True,612,612.3,595.9,16.31,50,,False,cleared,34,0.05555555555555555,0.08240016652800046,12,1,11,True,False,unresolvable,595
s20_off,22,theta_crossed,True,item_4,True,True,612,612.3,595.9,16.31,100,,False,cleared,84,0.13725490196078433,0.16405831226449627,13,1,12,True,False,unresolvable,595
s20_off,22,theta_crossed,True,item_6,False,False,1078,1078.3,595.9,185.43,10,,False,cleared,0,0.0,0.4474293110043913,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_6,False,False,1078,1078.3,595.9,185.43,25,,False,cleared,0,0.0,0.4474293110043913,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_6,False,False,1078,1078.3,595.9,185.43,50,,False,cleared,0,0.0,0.4474293110043913,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_6,False,False,1078,1078.3,595.9,185.43,100,,False,cleared,0,0.0,0.4474293110043913,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_7,False,False,1687,1686.7,595.9,93.66,10,,False,cleared,0,0.0,0.6467301872120863,0,0,0,False,False,unresolvable,595
