ticks: base 200 new 200  eps=0.0005
  t=122 base=unknown(0.995) new=d(item_6)(0.332)  human: deliver_item/place/release
  t=123 base=unknown(0.995) new=d(item_6)(0.332)  human: deliver_item/place/None
  t=124 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=125 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=126 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=127 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=128 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=129 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=130 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=131 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=132 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=133 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=134 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=135 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
  t=136 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=137 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=138 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=139 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=140 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=141 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=142 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=143 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=144 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=145 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=146 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=147 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=148 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=149 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=150 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=151 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=152 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=153 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=154 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=155 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=156 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=157 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=158 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=159 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=160 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=161 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=162 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=163 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=164 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=165 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=166 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=167 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=168 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=169 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=170 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=171 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=172 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=173 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=174 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=175 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=176 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=177 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=178 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=179 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=180 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=181 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=182 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=183 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=184 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=185 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=186 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=187 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=188 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=189 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=190 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=191 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=192 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=193 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=194 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=195 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=196 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=197 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=198 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None
  t=199 base=unknown(0.995) new=d(item_7)(0.498)  human: None/None/None

== changed-key episodes (|new-base| > eps) ==
  t=0-53: identical
  t=54-84 human@start deliver_item/place/release:
      d(item_2)    max Δ=+0.491 at t=84 (0.001 → 0.492)
      d(item_6)    max Δ=+0.303 at t=57 (0.001 → 0.304)
      d(item_7)    max Δ=+0.459 at t=77 (0.001 → 0.460)
      unknown      max Δ=-0.962 at t=57 (0.995 → 0.033)
  t=85-108 human@start deliver_item/move_to/step:
      d(item_2)    max Δ=+0.904 at t=108 (0.001 → 0.905)
      d(item_7)    max Δ=+0.452 at t=85 (0.001 → 0.453)
      unknown      max Δ=-0.946 at t=85 (0.995 → 0.049)
  t=109-121 human@start deliver_item/move_to/step:
      d(item_2)    max Δ=+0.904 at t=109 (0.001 → 0.905)
      unknown      max Δ=-0.904 at t=109 (0.995 → 0.091)
  t=122-135 human@start deliver_item/place/release:
      d(item_6)    max Δ=+0.331 at t=122 (0.001 → 0.332)
      d(item_7)    max Δ=+0.331 at t=122 (0.001 → 0.332)
      unknown      max Δ=-0.663 at t=122 (0.995 → 0.332)
  t=136-199 human@start None/None/None:
      d(item_7)    max Δ=+0.497 at t=136 (0.001 → 0.498)
      unknown      max Δ=-0.497 at t=136 (0.995 → 0.498)

== meta lines ==
  -[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.249 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.712 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.759 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_6,?kitting_table=kitting_table_0) cost=40 feasible=True conflicts=531 min_dist=260.1971962751592
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=96 feasible=True conflicts=535 min_dist=633.86201731662
  +[meta] step=96 trigger=theta_crossed winner=deliver_item{'?item': 'item_6', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.498 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.498 theta=0.750 projection=none(below_theta)
