condition,variant,ac_max_184_271,ac_most_likely_ticks_184_271,at_272,coffee_max_seg2,coffee_theta_ticks_seg2,correct_theta_ticks,crossings,deliver_max_seg2,item6_3a_end,item6_3b_falls,item6_3b_start_end,max_conf,max_task_seg3,n_cross,n_wrong_cross,reveals,unknown_end_seg3,unknown_when_idle,wrong_theta_task_ticks,wrong_theta_ticks
s40_off,B,0.904,28,ac 0.904 (item_6 0.001),0.904,29,141,19:d(item_3) 125:coffee 184:ac! 214:unknown 323:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.904,5,2,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.992,0.301,106,157
s40_on,B,0.904,1,ac 0.904 (item_6 0.001),0.904,59,245,19:d(item_3) 125:coffee 323:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.001,3,1,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.993,0.973,42,96
s00_off,C5,,,,,,64,39:d(item_3),,,,,0.995,,1,0,"d(item_3):39(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s00_on,C5,,,,,,92,11:d(item_3),,,,,0.995,,1,0,"d(item_3):11(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s20_off,C5,,,,,,99,31:d(item_3),,,,,0.995,,1,0,"d(item_3):31(post-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s20_on,C5,,,,,,124,6:d(item_3),,,,,0.995,,1,0,"d(item_3):6(pre-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s30_off,C5,,,,,,82,28:d(item_3),,,,,0.995,,1,0,"d(item_3):28(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s30_on,C5,,,,,,90,21:d(item_3),,,,,0.995,,1,0,"d(item_3):21(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s40_off,C5,0.904,58,unknown 0.943 (item_6 0.001),0.904,33,140,19:d(item_3) 125:coffee 184:ac! 210:ac! 220:unknown 262:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.904,6,3,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.971,0.258,82,157
s40_on,C5,0.904,58,unknown 0.943 (item_6 0.001),0.904,33,140,19:d(item_3) 125:coffee 184:ac! 210:ac! 220:unknown 262:unknown!,0.001,0.001,False,0.001->0.001,0.993,0.904,6,3,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.971,0.258,82,157
