condition,step,segment,truth,human_action,human_micro,human_holding,most_likely,confidence,dist...
s00_off,45,,d(item_3),move_to,step,item_3,d(item_3),0.8795,0.001,0.8795,0.001,0.1165,0.001,0.001
s00_off,46,,d(item_3),move_to,step,item_3,d(item_3),0.9063,0.001,0.9063,0.001,0.0897,0.001,0.001
s00_off,47,,d(item_3),move_to,step,item_3,d(item_3),0.9292,0.001,0.9292,0.001,0.0668,0.001,0.001
s00_off,48,,d(item_3),move_to,step,item_3,d(item_3),0.9476,0.001,0.9476,0.001,0.0484,0.001,0.001
s00_off,49,,d(item_3),move_to,step,item_3,d(item_3),0.9617,0.001,0.9617,0.001,0.0343,0.001,0.001
s00_off,50,,d(item_3),move_to,step,item_3,d(item_3),0.9721,0.001,0.9721,0.001,0.0239,0.001,0.001
s00_off,51,,d(item_3),move_to,step,item_3,d(item_3),0.9795,0.001,0.9795,0.001,0.0165,0.001,0.001
s00_off,52,,d(item_3),move_to,step,item_3,d(item_3),0.9848,0.001,0.9848,0.001,0.0112,0.001,0.001
s00_off,53,,d(item_3),move_to,step,item_3,d(item_3),0.9884,0.001,0.9884,0.001,0.0076,0.001,0.001
s00_off,54,,d(item_3),move_to,step,item_3,d(item_3),0.9908,0.001,0.9908,0.001,0.0052,0.001,0.001
s00_off,55,,d(item_3),move_to,step,item_3,d(item_3),0.9925,0.001,0.9925,0.001,0.0035,0.001,0.001
s00_off,56,,d(item_3),move_to,step,item_3,d(item_3),0.9937,0.001,0.9937,0.001,0.0023,0.001,0.001
s00_off,57,,d(item_3),move_to,step,item_3,d(item_3),0.9944,0.001,0.9944,0.001,0.0016,0.001,0.001
s00_off,58,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.0011,0.001,0.001
s00_off,59,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,60,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,61,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,62,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,63,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,64,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,65,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,66,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,67,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,68,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,69,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,70,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,71,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,72,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,73,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,74,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,75,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,76,,d(item_3),move_to,step,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,77,,d(item_3),move_to,,item_3,d(item_3),0.995,0.001,0.995,0.001,0.001,0.001,0.001
s00_off,78,,d(item_3),place,release,,d(item_2),0.2495,0.2495,0.001,0.2495,0.2495,0.001,0.2495
s00_off,79,,d(item_3),place,,,d(item_2),0.2495,0.2495,0.001,0.2495,0.2495,0.001,0.2495
s00_off,80,,d(item_2),,,,d(item_2),0.2495,0.2495,0.001,0.2495,0.2495,0.001,0.2495
s00_off,81,,d(item_2),move_to,step,,d(item_2),0.333,0.333,0.001,0.3314,0.3002,0.001,0.0333
s00_off,82,,d(item_2),move_to,step,,d(item_2),0.3461,0.3461,0.001,0.3428,0.2745,0.001,0.0346
s00_off,83,,d(item_2),move_to,step,,d(item_2),0.3616,0.3616,0.001,0.3562,0.244,0.001,0.0362
s00_off,84,,d(item_2),move_to,step,,d(item_2),0.3797,0.3797,0.001,0.3719,0.2084,0.001,0.038
s00_off,85,,d(item_2),move_to,step,,d(item_2),0.3999,0.3999,0.001,0.3894,0.1687,0.001,0.04
s00_off,86,,d(item_2),move_to,step,,d(item_2),0.421,0.421,0.001,0.4072,0.1277,0.001,0.0421
s00_off,87,,d(item_2),move_to,step,,d(item_2),0.4408,0.4408,0.001,0.4234,0.0897,0.001,0.0441
s00_off,88,,d(item_2),move_to,step,,d(item_2),0.4576,0.4576,0.001,0.4362,0.0585,0.001,0.0458
s00_off,89,,d(item_2),move_to,step,,d(item_2),0.4704,0.4704,0.001,0.4448,0.0358,0.001,0.047
s00_off,90,,d(item_2),move_to,step,,d(item_2),0.4796,0.4796,0.001,0.4496,0.0208,0.001,0.048
s00_off,91,,d(item_2),move_to,step,,d(item_2),0.4861,0.4861,0.001,0.4513,0.0119,0.001,0.0486
s00_off,92,,d(item_2),move_to,step,,d(item_2),0.4903,0.4903,0.001,0.4505,0.0081,0.001,0.049
s00_off,93,,d(item_2),move_to,step,,d(item_2),0.4964,0.4964,0.001,0.451,0.001,0.001,0.0496
s00_off,94,,d(item_2),move_to,step,,d(item_2),0.4992,0.4992,0.001,0.4479,0.001,0.001,0.0499
s00_off,95,,d(item_2),move_to,step,,d(item_2),0.5023,0.5023,0.001,0.4445,0.001,0.001,0.0502
s00_off,96,,d(item_2),move_to,step,,d(item_2),0.5056,0.5056,0.001,0.4408,0.001,0.001,0.0506
s00_off,97,,d(item_2),move_to,step,,d(item_2),0.5094,0.5094,0.001,0.4367,0.001,0.001,0.0509
s00_off,98,,d(item_2),move_to,step,,d(item_2),0.5136,0.5136,0.001,0.4321,0.001,0.001,0.0514
s00_off,99,,d(item_2),move_to,step,,d(item_2),0.5182,0.5182,0.001,0.427,0.001,0.001,0.0518
s00_off,100,,d(item_2),move_to,step,,d(item_2),0.5234,0.5234,0.001,0.4213,0.001,0.001,0.0523
s00_off,101,,d(item_2),move_to,step,,d(item_2),0.5292,0.5292,0.001,0.4148,0.001,0.001,0.0529
s00_off,102,,d(item_2),move_to,step,,d(item_2),0.5358,0.5358,0.001,0.4076,0.001,0.001,0.0536
s00_off,103,,d(item_2),move_to,step,,d(item_2),0.5433,0.5433,0.001,0.3994,0.001,0.001,0.0543
s00_off,104,,d(item_2),move_to,step,,d(item_2),0.5518,0.5518,0.001,0.39,0.001,0.001,0.0552
s00_off,105,,d(item_2),move_to,step,,d(item_2),0.5615,0.5615,0.001,0.3793,0.001,0.001,0.0562
s00_off,106,,d(item_2),move_to,step,,d(item_2),0.5726,0.5726,0.001,0.3672,0.001,0.001,0.0573
s00_off,107,,d(item_2),move_to,step,,d(item_2),0.5853,0.5853,0.001,0.3532,0.001,0.001,0.0585
s00_off,108,,d(item_2),move_to,step,,d(item_2),0.5997,0.5997,0.001,0.3373,0.001,0.001,0.06
s00_off,109,,d(item_2),move_to,step,,d(item_2),0.939,0.939,0.001,0.0486,0.001,0.001,0.0094
