condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,15,d(item_2),move_to(?target=item_2),337.1,0.035342,0.0235,320.0
s00_off,15,d(item_3),move_to(?target=item_3),-0.0,0.035342,0.3534,320.0
s00_off,15,d(item_4),move_to(?target=item_4),184.2,0.035342,0.0967,320.0
s00_off,15,d(item_6),move_to(?target=item_6),19.5,0.035342,0.319,320.0
s00_off,15,d(item_7),move_to(?target=item_7),113.4,0.035342,0.172,320.0
s00_off,16,d(item_2),move_to(?target=item_2),368.5,0.03719,0.0182,340.0
s00_off,16,d(item_3),move_to(?target=item_3),0.0,0.03719,0.3719,340.0
s00_off,16,d(item_4),move_to(?target=item_4),203.4,0.03719,0.0861,340.0
s00_off,16,d(item_6),move_to(?target=item_6),21.6,0.03719,0.3319,340.0
s00_off,16,d(item_7),move_to(?target=item_7),133.7,0.03719,0.1547,340.0
s00_off,17,d(item_2),move_to(?target=item_2),400.7,0.039158,0.014,360.0
s00_off,17,d(item_3),move_to(?target=item_3),-0.0,0.039158,0.3916,360.0
s00_off,17,d(item_4),move_to(?target=item_4),223.7,0.039158,0.0756,360.0
s00_off,17,d(item_6),move_to(?target=item_6),23.8,0.039158,0.3452,360.0
s00_off,17,d(item_7),move_to(?target=item_7),157.3,0.039158,0.1345,360.0
s00_off,18,d(item_2),move_to(?target=item_2),433.6,0.041206,0.0106,380.0
s00_off,18,d(item_3),move_to(?target=item_3),-0.0,0.041206,0.4121,380.0
s00_off,18,d(item_4),move_to(?target=item_4),245.1,0.041206,0.0654,380.0
s00_off,18,d(item_6),move_to(?target=item_6),26.2,0.041206,0.3584,380.0
s00_off,18,d(item_7),move_to(?target=item_7),184.7,0.041206,0.1123,380.0
s00_off,19,d(item_2),move_to(?target=item_2),467.2,0.043271,0.008,400.0
s00_off,19,d(item_3),move_to(?target=item_3),-0.0,0.043271,0.4327,400.0
s00_off,19,d(item_4),move_to(?target=item_4),267.5,0.043271,0.0558,400.0
s00_off,19,d(item_6),move_to(?target=item_6),28.8,0.043271,0.3708,400.0
s00_off,19,d(item_7),move_to(?target=item_7),216.1,0.043271,0.0894,400.0
s00_off,20,d(item_2),move_to(?target=item_2),501.3,0.04527,0.006,420.0
s00_off,20,d(item_3),move_to(?target=item_3),-0.0,0.04527,0.4527,420.0
s00_off,20,d(item_4),move_to(?target=item_4),291.0,0.04527,0.0468,420.0
s00_off,20,d(item_6),move_to(?target=item_6),31.6,0.04527,0.3817,420.0
s00_off,20,d(item_7),move_to(?target=item_7),251.7,0.04527,0.0676,420.0
s00_off,21,d(item_2),move_to(?target=item_2),535.9,0.047125,0.0044,440.0
s00_off,21,d(item_3),move_to(?target=item_3),-0.0,0.047125,0.4712,440.0
s00_off,21,d(item_4),move_to(?target=item_4),315.6,0.047125,0.0385,440.0
s00_off,21,d(item_6),move_to(?target=item_6),34.7,0.047125,0.3902,440.0
s00_off,21,d(item_7),move_to(?target=item_7),291.5,0.047125,0.0485,440.0
s00_off,22,d(item_2),move_to(?target=item_2),570.9,0.048786,0.0032,460.0
s00_off,22,d(item_3),move_to(?target=item_3),-0.0,0.048786,0.4879,460.0
s00_off,22,d(item_4),move_to(?target=item_4),341.1,0.048786,0.0312,460.0
s00_off,22,d(item_6),move_to(?target=item_6),38.1,0.048786,0.396,460.0
s00_off,22,d(item_7),move_to(?target=item_7),335.3,0.048786,0.033,460.0
s00_off,23,d(item_2),move_to(?target=item_2),606.4,0.050241,0.0023,480.0
s00_off,23,d(item_3),move_to(?target=item_3),-0.0,0.050241,0.5024,480.0
s00_off,23,d(item_4),move_to(?target=item_4),367.6,0.050241,0.0248,480.0
s00_off,23,d(item_6),move_to(?target=item_6),41.8,0.050241,0.3988,480.0
s00_off,23,d(item_7),move_to(?target=item_7),382.9,0.050241,0.0214,480.0
s00_off,24,d(item_2),move_to(?target=item_2),642.2,0.051518,0.0017,500.0
s00_off,24,d(item_3),move_to(?target=item_3),-0.0,0.051518,0.5152,500.0
s00_off,24,d(item_4),move_to(?target=item_4),395.0,0.051518,0.0195,500.0
