ticks: base 379 new 379  eps=0.0005
  t=187 base=ac(0.456) new=unknown(0.993)  human: ac_activation/move_to/step
  t=188 base=ac(0.461) new=unknown(0.993)  human: ac_activation/move_to/step
  t=189 base=ac(0.466) new=unknown(0.993)  human: ac_activation/move_to/step
  t=190 base=ac(0.471) new=unknown(0.993)  human: ac_activation/move_to/step
  t=191 base=ac(0.475) new=unknown(0.993)  human: ac_activation/move_to/step
  t=192 base=ac(0.480) new=unknown(0.993)  human: ac_activation/move_to/step
  t=193 base=ac(0.485) new=unknown(0.993)  human: ac_activation/move_to/step
  t=194 base=ac(0.489) new=unknown(0.993)  human: ac_activation/move_to/step
  t=195 base=ac(0.494) new=unknown(0.993)  human: ac_activation/move_to/step
  t=196 base=ac(0.498) new=unknown(0.993)  human: ac_activation/move_to/step
  t=197 base=ac(0.502) new=unknown(0.993)  human: ac_activation/move_to/step
  t=198 base=ac(0.507) new=unknown(0.993)  human: ac_activation/move_to/step
  t=199 base=ac(0.511) new=unknown(0.993)  human: ac_activation/move_to/step
  t=200 base=ac(0.515) new=unknown(0.993)  human: ac_activation/move_to/step
  t=201 base=ac(0.519) new=unknown(0.993)  human: ac_activation/move_to/step
  t=202 base=ac(0.522) new=unknown(0.993)  human: ac_activation/move_to/step
  t=203 base=ac(0.526) new=unknown(0.993)  human: ac_activation/move_to/step
  t=204 base=ac(0.530) new=unknown(0.993)  human: ac_activation/move_to/step
  t=205 base=ac(0.533) new=unknown(0.993)  human: ac_activation/move_to/step
  t=206 base=ac(0.533) new=unknown(0.993)  human: ac_activation/move_to/None
  t=207 base=ac(0.533) new=unknown(0.993)  human: ac_activation/wait_at/stand
  t=208 base=ac(0.533) new=unknown(0.993)  human: ac_activation/wait_at/None
  t=209 base=ac(0.533) new=unknown(0.993)  human: None/None/None
  t=210 base=ac(0.531) new=unknown(0.993)  human: ac_activation/move_to/step
  t=211 base=ac(0.530) new=unknown(0.993)  human: ac_activation/move_to/step
  t=212 base=ac(0.528) new=unknown(0.993)  human: ac_activation/move_to/step
  t=213 base=ac(0.526) new=unknown(0.993)  human: ac_activation/move_to/step
  t=214 base=ac(0.525) new=unknown(0.993)  human: ac_activation/move_to/step
  t=215 base=ac(0.523) new=unknown(0.993)  human: ac_activation/move_to/step
  t=216 base=ac(0.521) new=unknown(0.993)  human: ac_activation/move_to/step
  t=217 base=ac(0.520) new=unknown(0.993)  human: ac_activation/move_to/step
  t=218 base=ac(0.519) new=unknown(0.993)  human: ac_activation/move_to/step
  t=219 base=ac(0.517) new=unknown(0.993)  human: ac_activation/move_to/step
  t=220 base=ac(0.516) new=unknown(0.993)  human: ac_activation/move_to/step
  t=221 base=ac(0.515) new=unknown(0.993)  human: ac_activation/move_to/step
  t=222 base=ac(0.513) new=unknown(0.993)  human: ac_activation/move_to/step
  t=223 base=ac(0.512) new=unknown(0.993)  human: ac_activation/move_to/step
  t=224 base=ac(0.511) new=unknown(0.993)  human: ac_activation/move_to/step
  t=225 base=ac(0.510) new=unknown(0.993)  human: ac_activation/move_to/step
  t=226 base=ac(0.509) new=unknown(0.993)  human: ac_activation/move_to/step
  t=227 base=ac(0.509) new=unknown(0.993)  human: ac_activation/move_to/None
  t=228 base=ac(0.509) new=unknown(0.993)  human: ac_activation/wait_at/stand
  t=229 base=ac(0.509) new=unknown(0.993)  human: ac_activation/wait_at/None
  t=230 base=ac(0.509) new=unknown(0.993)  human: None/None/None
  t=231 base=ac(0.511) new=unknown(0.993)  human: deliver_item/move_to/step
  t=232 base=ac(0.514) new=unknown(0.993)  human: deliver_item/move_to/step
  t=233 base=ac(0.517) new=unknown(0.993)  human: deliver_item/move_to/step
  t=234 base=ac(0.520) new=unknown(0.993)  human: deliver_item/move_to/step
  t=235 base=ac(0.522) new=unknown(0.993)  human: deliver_item/move_to/step
  t=236 base=ac(0.525) new=unknown(0.993)  human: deliver_item/move_to/step
  t=237 base=ac(0.528) new=unknown(0.993)  human: deliver_item/move_to/step
  t=238 base=ac(0.531) new=unknown(0.993)  human: deliver_item/move_to/step
  t=239 base=ac(0.534) new=unknown(0.993)  human: deliver_item/move_to/step
  t=240 base=ac(0.537) new=unknown(0.993)  human: deliver_item/move_to/step
  t=241 base=ac(0.541) new=unknown(0.993)  human: deliver_item/move_to/step
  t=242 base=ac(0.544) new=unknown(0.993)  human: deliver_item/move_to/step
  t=243 base=ac(0.558) new=unknown(0.993)  human: deliver_item/move_to/step
  t=244 base=ac(0.561) new=unknown(0.993)  human: deliver_item/move_to/step
  t=245 base=ac(0.563) new=unknown(0.993)  human: deliver_item/move_to/step
  t=246 base=ac(0.566) new=unknown(0.993)  human: deliver_item/move_to/step
  t=247 base=ac(0.568) new=unknown(0.993)  human: deliver_item/move_to/step
  t=248 base=ac(0.571) new=unknown(0.993)  human: deliver_item/move_to/step
  t=249 base=ac(0.573) new=unknown(0.993)  human: deliver_item/move_to/step
  t=250 base=ac(0.576) new=unknown(0.993)  human: deliver_item/move_to/step
  t=251 base=ac(0.578) new=unknown(0.993)  human: deliver_item/move_to/step
  t=252 base=ac(0.580) new=unknown(0.993)  human: deliver_item/move_to/step
  t=253 base=ac(0.583) new=unknown(0.993)  human: deliver_item/move_to/step
  t=254 base=ac(0.585) new=unknown(0.993)  human: deliver_item/move_to/step
  t=255 base=ac(0.587) new=unknown(0.993)  human: deliver_item/move_to/step
  t=256 base=ac(0.589) new=unknown(0.993)  human: deliver_item/move_to/step
  t=257 base=ac(0.592) new=unknown(0.993)  human: deliver_item/move_to/step
  t=258 base=ac(0.594) new=unknown(0.993)  human: deliver_item/move_to/step
  t=259 base=ac(0.596) new=unknown(0.993)  human: deliver_item/move_to/step
  t=260 base=ac(0.598) new=unknown(0.993)  human: deliver_item/move_to/step
  t=261 base=ac(0.600) new=unknown(0.993)  human: deliver_item/move_to/step
  t=262 base=ac(0.601) new=unknown(0.993)  human: deliver_item/move_to/step
  t=263 base=ac(0.603) new=unknown(0.993)  human: deliver_item/move_to/step
  t=264 base=ac(0.605) new=unknown(0.993)  human: deliver_item/move_to/step
  t=265 base=ac(0.607) new=unknown(0.993)  human: deliver_item/move_to/step
  t=266 base=ac(0.609) new=unknown(0.993)  human: deliver_item/move_to/step
  t=267 base=ac(0.610) new=unknown(0.993)  human: deliver_item/move_to/step
  t=268 base=ac(0.612) new=unknown(0.993)  human: deliver_item/move_to/step
  t=269 base=ac(0.613) new=unknown(0.993)  human: deliver_item/move_to/step
  t=270 base=ac(0.615) new=unknown(0.993)  human: deliver_item/move_to/step
  t=271 base=ac(0.615) new=unknown(0.993)  human: deliver_item/move_to/None
  t=272 base=ac(0.479) new=unknown(0.993)  human: deliver_item/pick_up/grasp
  t=273 base=ac(0.479) new=unknown(0.993)  human: deliver_item/pick_up/None
  t=274 base=d(item_6)(0.623) new=unknown(0.993)  human: deliver_item/move_to/step
  t=275 base=d(item_6)(0.624) new=unknown(0.993)  human: deliver_item/move_to/step
  t=276 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=277 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=278 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=279 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=280 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=281 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=282 base=d(item_6)(0.650) new=unknown(0.993)  human: deliver_item/move_to/step
  t=283 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=284 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=285 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=286 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=287 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=288 base=d(item_6)(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=289 base=d(item_6)(0.652) new=unknown(0.993)  human: deliver_item/move_to/step
  t=290 base=d(item_6)(0.652) new=unknown(0.993)  human: deliver_item/move_to/step
  t=291 base=d(item_6)(0.652) new=unknown(0.993)  human: deliver_item/move_to/step
  t=292 base=d(item_6)(0.652) new=unknown(0.993)  human: deliver_item/move_to/step
  t=293 base=d(item_6)(0.653) new=unknown(0.993)  human: deliver_item/move_to/step
  t=294 base=d(item_6)(0.653) new=unknown(0.993)  human: deliver_item/move_to/step
  t=295 base=d(item_6)(0.653) new=unknown(0.993)  human: deliver_item/move_to/step
  t=296 base=d(item_6)(0.653) new=unknown(0.993)  human: deliver_item/move_to/step
