ticks: base 379 new 379  eps=0.0005
  t=185 base=ac(0.544) new=unknown(0.993)  human: coffee_break/wait_at/None
  t=186 base=ac(0.544) new=unknown(0.993)  human: None/None/None
  t=187 base=ac(0.549) new=unknown(0.993)  human: ac_activation/move_to/step
  t=188 base=ac(0.555) new=unknown(0.993)  human: ac_activation/move_to/step
  t=189 base=ac(0.560) new=unknown(0.993)  human: ac_activation/move_to/step
  t=190 base=ac(0.566) new=unknown(0.993)  human: ac_activation/move_to/step
  t=191 base=ac(0.571) new=unknown(0.993)  human: ac_activation/move_to/step
  t=192 base=ac(0.576) new=unknown(0.993)  human: ac_activation/move_to/step
  t=193 base=ac(0.581) new=unknown(0.993)  human: ac_activation/move_to/step
  t=194 base=ac(0.586) new=unknown(0.993)  human: ac_activation/move_to/step
  t=195 base=ac(0.591) new=unknown(0.993)  human: ac_activation/move_to/step
  t=196 base=ac(0.596) new=unknown(0.993)  human: ac_activation/move_to/step
  t=197 base=ac(0.600) new=unknown(0.993)  human: ac_activation/move_to/step
  t=198 base=ac(0.605) new=unknown(0.993)  human: ac_activation/move_to/step
  t=199 base=ac(0.609) new=unknown(0.993)  human: ac_activation/move_to/step
  t=200 base=ac(0.614) new=unknown(0.993)  human: ac_activation/move_to/step
  t=201 base=ac(0.618) new=unknown(0.993)  human: ac_activation/move_to/step
  t=202 base=ac(0.622) new=unknown(0.993)  human: ac_activation/move_to/step
  t=203 base=ac(0.625) new=unknown(0.993)  human: ac_activation/move_to/step
  t=204 base=ac(0.629) new=unknown(0.993)  human: ac_activation/move_to/step
  t=205 base=ac(0.633) new=unknown(0.993)  human: ac_activation/move_to/step
  t=206 base=ac(0.633) new=unknown(0.993)  human: ac_activation/move_to/None
  t=207 base=ac(0.633) new=unknown(0.993)  human: ac_activation/wait_at/stand
  t=208 base=ac(0.633) new=unknown(0.993)  human: ac_activation/wait_at/None
  t=209 base=ac(0.633) new=unknown(0.993)  human: None/None/None
  t=210 base=ac(0.631) new=unknown(0.993)  human: ac_activation/move_to/step
  t=211 base=ac(0.629) new=unknown(0.993)  human: ac_activation/move_to/step
  t=212 base=ac(0.627) new=unknown(0.993)  human: ac_activation/move_to/step
  t=213 base=ac(0.625) new=unknown(0.993)  human: ac_activation/move_to/step
  t=214 base=ac(0.623) new=unknown(0.993)  human: ac_activation/move_to/step
  t=215 base=ac(0.622) new=unknown(0.993)  human: ac_activation/move_to/step
  t=216 base=ac(0.620) new=unknown(0.993)  human: ac_activation/move_to/step
  t=217 base=ac(0.618) new=unknown(0.993)  human: ac_activation/move_to/step
  t=218 base=ac(0.617) new=unknown(0.993)  human: ac_activation/move_to/step
  t=219 base=ac(0.615) new=unknown(0.993)  human: ac_activation/move_to/step
  t=220 base=ac(0.614) new=unknown(0.993)  human: ac_activation/move_to/step
  t=221 base=ac(0.612) new=unknown(0.993)  human: ac_activation/move_to/step
  t=222 base=ac(0.611) new=unknown(0.993)  human: ac_activation/move_to/step
  t=223 base=ac(0.609) new=unknown(0.993)  human: ac_activation/move_to/step
  t=224 base=ac(0.608) new=unknown(0.993)  human: ac_activation/move_to/step
  t=225 base=ac(0.607) new=unknown(0.993)  human: ac_activation/move_to/step
  t=226 base=ac(0.606) new=unknown(0.993)  human: ac_activation/move_to/step
  t=227 base=ac(0.606) new=unknown(0.993)  human: ac_activation/move_to/None
  t=228 base=ac(0.606) new=unknown(0.993)  human: ac_activation/wait_at/stand
  t=229 base=ac(0.606) new=unknown(0.993)  human: ac_activation/wait_at/None
  t=230 base=ac(0.606) new=unknown(0.993)  human: None/None/None
  t=231 base=ac(0.608) new=unknown(0.993)  human: deliver_item/move_to/step
  t=232 base=ac(0.611) new=unknown(0.993)  human: deliver_item/move_to/step
  t=233 base=ac(0.614) new=unknown(0.993)  human: deliver_item/move_to/step
  t=234 base=ac(0.617) new=unknown(0.993)  human: deliver_item/move_to/step
  t=235 base=ac(0.620) new=unknown(0.993)  human: deliver_item/move_to/step
  t=236 base=ac(0.623) new=unknown(0.993)  human: deliver_item/move_to/step
  t=237 base=ac(0.625) new=unknown(0.993)  human: deliver_item/move_to/step
  t=238 base=ac(0.628) new=unknown(0.993)  human: deliver_item/move_to/step
  t=239 base=ac(0.631) new=unknown(0.993)  human: deliver_item/move_to/step
  t=240 base=ac(0.633) new=unknown(0.993)  human: deliver_item/move_to/step
  t=241 base=ac(0.636) new=unknown(0.993)  human: deliver_item/move_to/step
  t=242 base=ac(0.639) new=unknown(0.993)  human: deliver_item/move_to/step
  t=243 base=ac(0.641) new=unknown(0.993)  human: deliver_item/move_to/step
  t=244 base=ac(0.644) new=unknown(0.993)  human: deliver_item/move_to/step
  t=245 base=ac(0.646) new=unknown(0.993)  human: deliver_item/move_to/step
  t=246 base=ac(0.649) new=unknown(0.993)  human: deliver_item/move_to/step
  t=247 base=ac(0.651) new=unknown(0.993)  human: deliver_item/move_to/step
  t=248 base=ac(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=249 base=ac(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=250 base=ac(0.658) new=unknown(0.993)  human: deliver_item/move_to/step
  t=251 base=ac(0.660) new=unknown(0.993)  human: deliver_item/move_to/step
  t=252 base=ac(0.663) new=unknown(0.993)  human: deliver_item/move_to/step
  t=253 base=ac(0.665) new=unknown(0.993)  human: deliver_item/move_to/step
  t=254 base=ac(0.667) new=unknown(0.993)  human: deliver_item/move_to/step
  t=255 base=ac(0.669) new=unknown(0.993)  human: deliver_item/move_to/step
  t=256 base=ac(0.671) new=unknown(0.993)  human: deliver_item/move_to/step
  t=257 base=ac(0.673) new=unknown(0.993)  human: deliver_item/move_to/step
  t=258 base=ac(0.675) new=unknown(0.993)  human: deliver_item/move_to/step
  t=259 base=ac(0.676) new=unknown(0.993)  human: deliver_item/move_to/step
  t=260 base=ac(0.678) new=unknown(0.993)  human: deliver_item/move_to/step
  t=261 base=ac(0.680) new=unknown(0.993)  human: deliver_item/move_to/step
  t=262 base=ac(0.682) new=unknown(0.993)  human: deliver_item/move_to/step
  t=263 base=ac(0.683) new=unknown(0.993)  human: deliver_item/move_to/step
  t=264 base=ac(0.685) new=unknown(0.993)  human: deliver_item/move_to/step
  t=265 base=ac(0.686) new=unknown(0.993)  human: deliver_item/move_to/step
  t=266 base=ac(0.688) new=unknown(0.993)  human: deliver_item/move_to/step
  t=267 base=ac(0.689) new=unknown(0.993)  human: deliver_item/move_to/step
  t=268 base=ac(0.690) new=unknown(0.993)  human: deliver_item/move_to/step
  t=269 base=ac(0.692) new=unknown(0.993)  human: deliver_item/move_to/step
  t=270 base=ac(0.693) new=unknown(0.993)  human: deliver_item/move_to/step
  t=271 base=ac(0.693) new=unknown(0.993)  human: deliver_item/move_to/None
  t=272 base=ac(0.525) new=unknown(0.993)  human: deliver_item/pick_up/grasp
  t=273 base=ac(0.525) new=unknown(0.993)  human: deliver_item/pick_up/None
  t=274 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=275 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=276 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=277 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=278 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=279 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=280 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=281 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=282 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=283 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=284 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=285 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=286 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=287 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=288 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=289 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=290 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=291 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=292 base=d(item_6)(0.657) new=unknown(0.993)  human: deliver_item/move_to/step
  t=293 base=d(item_6)(0.657) new=unknown(0.993)  human: deliver_item/move_to/step
  t=294 base=d(item_6)(0.657) new=unknown(0.993)  human: deliver_item/move_to/step
