ticks: base 379 new 383  eps=0.0005
  t=187 base=unknown(0.993) new=d(item_6)(0.247)  human: ac_activation/move_to/step
  t=188 base=unknown(0.993) new=d(item_6)(0.251)  human: ac_activation/move_to/step
  t=189 base=unknown(0.993) new=d(item_6)(0.255)  human: ac_activation/move_to/step
  t=190 base=unknown(0.993) new=d(item_6)(0.260)  human: ac_activation/move_to/step
  t=191 base=unknown(0.993) new=d(item_6)(0.265)  human: ac_activation/move_to/step
  t=192 base=unknown(0.993) new=d(item_6)(0.270)  human: ac_activation/move_to/step
  t=193 base=unknown(0.993) new=d(item_6)(0.275)  human: ac_activation/move_to/step
  t=194 base=unknown(0.993) new=d(item_6)(0.281)  human: ac_activation/move_to/step
  t=195 base=unknown(0.993) new=d(item_6)(0.287)  human: ac_activation/move_to/step
  t=196 base=unknown(0.993) new=d(item_6)(0.294)  human: ac_activation/move_to/step
  t=197 base=unknown(0.993) new=d(item_6)(0.301)  human: ac_activation/move_to/step
  t=198 base=unknown(0.993) new=d(item_6)(0.309)  human: ac_activation/move_to/step
  t=199 base=unknown(0.993) new=d(item_6)(0.317)  human: ac_activation/move_to/step
  t=200 base=unknown(0.993) new=d(item_6)(0.326)  human: ac_activation/move_to/step
  t=201 base=unknown(0.993) new=d(item_6)(0.335)  human: ac_activation/move_to/step
  t=202 base=unknown(0.993) new=d(item_6)(0.345)  human: ac_activation/move_to/step
  t=203 base=unknown(0.993) new=d(item_6)(0.355)  human: ac_activation/move_to/step
  t=204 base=unknown(0.993) new=d(item_6)(0.366)  human: ac_activation/move_to/step
  t=205 base=unknown(0.993) new=d(item_6)(0.377)  human: ac_activation/move_to/step
  t=206 base=unknown(0.993) new=d(item_6)(0.379)  human: ac_activation/move_to/None
  t=207 base=unknown(0.993) new=d(item_6)(0.382)  human: ac_activation/wait_at/stand
  t=208 base=unknown(0.993) new=d(item_6)(0.385)  human: ac_activation/wait_at/None
  t=209 base=unknown(0.993) new=d(item_6)(0.388)  human: None/None/None
  t=210 base=unknown(0.993) new=d(item_6)(0.397)  human: ac_activation/move_to/step
  t=211 base=unknown(0.993) new=d(item_5)(0.401)  human: ac_activation/move_to/step
  t=212 base=unknown(0.993) new=d(item_5)(0.420)  human: ac_activation/move_to/step
  t=213 base=unknown(0.993) new=d(item_5)(0.436)  human: ac_activation/move_to/step
  t=214 base=unknown(0.993) new=d(item_5)(0.449)  human: ac_activation/move_to/step
  t=215 base=unknown(0.993) new=d(item_5)(0.458)  human: ac_activation/move_to/step
  t=216 base=unknown(0.993) new=d(item_5)(0.462)  human: ac_activation/move_to/step
  t=217 base=unknown(0.993) new=d(item_5)(0.460)  human: ac_activation/move_to/step
  t=218 base=unknown(0.993) new=d(item_5)(0.451)  human: ac_activation/move_to/step
  t=219 base=unknown(0.993) new=d(item_5)(0.435)  human: ac_activation/move_to/step
  t=220 base=unknown(0.993) new=d(item_5)(0.411)  human: ac_activation/move_to/step
  t=243 base=unknown(0.993) new=ac(0.321)  human: deliver_item/move_to/step
  t=244 base=unknown(0.993) new=d(item_6)(0.329)  human: deliver_item/move_to/step
  t=245 base=unknown(0.993) new=d(item_6)(0.337)  human: deliver_item/move_to/step
  t=246 base=unknown(0.993) new=d(item_6)(0.346)  human: deliver_item/move_to/step
  t=247 base=unknown(0.993) new=d(item_6)(0.355)  human: deliver_item/move_to/step
  t=248 base=unknown(0.993) new=d(item_6)(0.365)  human: deliver_item/move_to/step
  t=249 base=unknown(0.993) new=d(item_6)(0.376)  human: deliver_item/move_to/step
  t=250 base=unknown(0.993) new=d(item_6)(0.387)  human: deliver_item/move_to/step
  t=251 base=unknown(0.993) new=d(item_6)(0.400)  human: deliver_item/move_to/step
  t=252 base=unknown(0.993) new=d(item_6)(0.412)  human: deliver_item/move_to/step
  t=253 base=unknown(0.993) new=d(item_6)(0.426)  human: deliver_item/move_to/step
  t=254 base=unknown(0.993) new=d(item_6)(0.441)  human: deliver_item/move_to/step
  t=255 base=unknown(0.993) new=d(item_6)(0.456)  human: deliver_item/move_to/step
  t=256 base=unknown(0.993) new=d(item_6)(0.472)  human: deliver_item/move_to/step
  t=257 base=unknown(0.993) new=d(item_6)(0.490)  human: deliver_item/move_to/step
  t=258 base=unknown(0.993) new=d(item_6)(0.508)  human: deliver_item/move_to/step
  t=259 base=unknown(0.993) new=d(item_6)(0.529)  human: deliver_item/move_to/step
  t=260 base=unknown(0.993) new=d(item_6)(0.550)  human: deliver_item/move_to/step
  t=261 base=unknown(0.993) new=d(item_6)(0.574)  human: deliver_item/move_to/step
  t=262 base=unknown(0.993) new=d(item_6)(0.599)  human: deliver_item/move_to/step
  t=263 base=unknown(0.993) new=d(item_6)(0.626)  human: deliver_item/move_to/step
  t=264 base=unknown(0.993) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=265 base=unknown(0.993) new=d(item_6)(0.685)  human: deliver_item/move_to/step
  t=266 base=unknown(0.993) new=d(item_6)(0.715)  human: deliver_item/move_to/step
  t=267 base=unknown(0.993) new=d(item_6)(0.744)  human: deliver_item/move_to/step
  t=268 base=unknown(0.993) new=d(item_6)(0.772)  human: deliver_item/move_to/step
  t=269 base=unknown(0.993) new=d(item_6)(0.797)  human: deliver_item/move_to/step
  t=270 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/move_to/step
  t=271 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/move_to/None
  t=272 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/pick_up/grasp
  t=273 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/pick_up/None
  t=274 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/move_to/step
  t=275 base=unknown(0.993) new=d(item_6)(0.820)  human: deliver_item/move_to/step
  t=276 base=unknown(0.993) new=d(item_6)(0.833)  human: deliver_item/move_to/step
  t=277 base=unknown(0.993) new=d(item_6)(0.845)  human: deliver_item/move_to/step
  t=278 base=unknown(0.993) new=d(item_6)(0.857)  human: deliver_item/move_to/step
  t=279 base=unknown(0.993) new=d(item_6)(0.866)  human: deliver_item/move_to/step
  t=280 base=unknown(0.993) new=d(item_6)(0.873)  human: deliver_item/move_to/step
  t=281 base=unknown(0.993) new=d(item_6)(0.879)  human: deliver_item/move_to/step
  t=282 base=unknown(0.993) new=d(item_6)(0.883)  human: deliver_item/move_to/step
  t=283 base=unknown(0.993) new=d(item_6)(0.886)  human: deliver_item/move_to/step
  t=284 base=unknown(0.993) new=d(item_6)(0.888)  human: deliver_item/move_to/step
  t=285 base=unknown(0.993) new=d(item_6)(0.889)  human: deliver_item/move_to/step
  t=286 base=unknown(0.993) new=d(item_6)(0.891)  human: deliver_item/move_to/step
  t=287 base=unknown(0.993) new=d(item_6)(0.891)  human: deliver_item/move_to/step
  t=288 base=unknown(0.993) new=d(item_6)(0.892)  human: deliver_item/move_to/step
  t=289 base=unknown(0.993) new=d(item_6)(0.892)  human: deliver_item/move_to/step
  t=290 base=unknown(0.993) new=d(item_6)(0.893)  human: deliver_item/move_to/step
  t=291 base=unknown(0.993) new=d(item_6)(0.893)  human: deliver_item/move_to/step
  t=292 base=unknown(0.993) new=d(item_6)(0.893)  human: deliver_item/move_to/step
  t=293 base=unknown(0.993) new=d(item_6)(0.893)  human: deliver_item/move_to/step
  t=294 base=unknown(0.993) new=d(item_6)(0.894)  human: deliver_item/move_to/step
  t=295 base=unknown(0.993) new=d(item_6)(0.894)  human: deliver_item/move_to/step
  t=296 base=unknown(0.993) new=d(item_6)(0.894)  human: deliver_item/move_to/step
  t=297 base=unknown(0.993) new=d(item_6)(0.895)  human: deliver_item/move_to/step
  t=298 base=unknown(0.993) new=d(item_6)(0.895)  human: deliver_item/move_to/step
  t=299 base=unknown(0.993) new=d(item_6)(0.896)  human: deliver_item/move_to/step
  t=300 base=unknown(0.993) new=d(item_6)(0.896)  human: deliver_item/move_to/step
  t=301 base=unknown(0.993) new=d(item_6)(0.896)  human: deliver_item/move_to/step
  t=302 base=unknown(0.993) new=d(item_6)(0.897)  human: deliver_item/move_to/step
  t=303 base=unknown(0.993) new=d(item_6)(0.897)  human: deliver_item/move_to/step
  t=304 base=unknown(0.993) new=d(item_6)(0.898)  human: deliver_item/move_to/step
  t=305 base=unknown(0.993) new=d(item_6)(0.898)  human: deliver_item/move_to/step
  t=306 base=unknown(0.993) new=d(item_6)(0.899)  human: deliver_item/move_to/step
  t=307 base=unknown(0.993) new=d(item_6)(0.899)  human: deliver_item/move_to/step
  t=308 base=unknown(0.993) new=d(item_6)(0.900)  human: deliver_item/move_to/step
  t=309 base=unknown(0.993) new=d(item_6)(0.900)  human: deliver_item/move_to/step
  t=310 base=unknown(0.993) new=d(item_6)(0.901)  human: deliver_item/move_to/step
  t=311 base=unknown(0.993) new=d(item_6)(0.901)  human: deliver_item/move_to/step
  t=312 base=unknown(0.993) new=d(item_6)(0.902)  human: deliver_item/move_to/step
  t=313 base=unknown(0.993) new=d(item_6)(0.902)  human: deliver_item/move_to/step
  t=314 base=unknown(0.993) new=d(item_6)(0.902)  human: deliver_item/move_to/step
  t=315 base=unknown(0.993) new=d(item_6)(0.903)  human: deliver_item/move_to/step
  t=316 base=unknown(0.993) new=d(item_6)(0.903)  human: deliver_item/move_to/step
  t=317 base=unknown(0.993) new=d(item_6)(0.903)  human: deliver_item/move_to/step
  t=318 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=319 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=320 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=321 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=322 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=323 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=324 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=325 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=326 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=327 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=328 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=329 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/step
  t=330 base=unknown(0.993) new=d(item_6)(0.904)  human: deliver_item/move_to/None
  t=331 base=unknown(0.993) new=ac(0.474)  human: deliver_item/place/release
  t=332 base=unknown(0.993) new=ac(0.474)  human: deliver_item/place/None
  t=333 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=334 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=335 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=336 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=337 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=338 base=unknown(0.993) new=ac(0.474)  human: None/None/None
