step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_item_3,p_item_6,p_item_4,p_item_7,p_item_5,p_ac_activation,p_coffee_break,p_unknown
28,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-403.6,262.2,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
29,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-420.9,252.3,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
30,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-438.3,242.4,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
31,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-455.7,232.5,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
32,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-473.0,222.5,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
33,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-490.4,212.6,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
34,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-507.8,202.7,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
35,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-525.1,192.8,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
36,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-542.5,182.9,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
37,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-559.9,172.9,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
38,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-577.2,163.0,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
39,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-594.6,153.1,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
40,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-612.0,143.2,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
