ticks: base 379 new 379  eps=0.0005
  t=161 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=162 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=163 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=164 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=165 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=166 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=167 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=168 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=169 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=170 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=171 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=172 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=173 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=174 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=175 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=176 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=177 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=178 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=179 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=180 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=181 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=182 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=183 base=d(item_3)(0.939) new=coffee(0.559)  human: coffee_break/wait_at/stand
  t=184 base=d(item_3)(0.939) new=ac(0.544)  human: coffee_break/wait_at/stand
  t=185 base=d(item_3)(0.939) new=ac(0.544)  human: coffee_break/wait_at/None
  t=186 base=d(item_3)(0.939) new=ac(0.544)  human: None/None/None
  t=187 base=d(item_3)(0.942) new=ac(0.549)  human: ac_activation/move_to/step
  t=188 base=d(item_3)(0.945) new=ac(0.555)  human: ac_activation/move_to/step
  t=189 base=d(item_3)(0.968) new=ac(0.560)  human: ac_activation/move_to/step
  t=190 base=d(item_3)(0.970) new=ac(0.566)  human: ac_activation/move_to/step
  t=191 base=d(item_3)(0.971) new=ac(0.571)  human: ac_activation/move_to/step
  t=192 base=d(item_3)(0.972) new=ac(0.576)  human: ac_activation/move_to/step
  t=193 base=d(item_3)(0.973) new=ac(0.581)  human: ac_activation/move_to/step
  t=194 base=d(item_3)(0.974) new=ac(0.586)  human: ac_activation/move_to/step
  t=195 base=d(item_3)(0.975) new=ac(0.591)  human: ac_activation/move_to/step
  t=196 base=d(item_3)(0.976) new=ac(0.596)  human: ac_activation/move_to/step
  t=197 base=d(item_3)(0.977) new=ac(0.600)  human: ac_activation/move_to/step
  t=198 base=d(item_3)(0.977) new=ac(0.605)  human: ac_activation/move_to/step
  t=199 base=d(item_3)(0.978) new=ac(0.609)  human: ac_activation/move_to/step
