ticks: base 379 new 379  eps=0.0005
  t=251 base=coffee(0.815) new=ac(0.660)  human: deliver_item/move_to/step
  t=252 base=coffee(0.815) new=ac(0.663)  human: deliver_item/move_to/step
  t=253 base=coffee(0.815) new=ac(0.665)  human: deliver_item/move_to/step
  t=254 base=coffee(0.815) new=ac(0.667)  human: deliver_item/move_to/step
  t=255 base=coffee(0.815) new=ac(0.669)  human: deliver_item/move_to/step
  t=256 base=coffee(0.815) new=ac(0.671)  human: deliver_item/move_to/step
  t=257 base=coffee(0.815) new=ac(0.673)  human: deliver_item/move_to/step
  t=258 base=coffee(0.815) new=ac(0.675)  human: deliver_item/move_to/step
  t=259 base=coffee(0.815) new=ac(0.676)  human: deliver_item/move_to/step
  t=260 base=coffee(0.815) new=ac(0.678)  human: deliver_item/move_to/step
  t=261 base=coffee(0.815) new=ac(0.680)  human: deliver_item/move_to/step
  t=262 base=coffee(0.815) new=ac(0.682)  human: deliver_item/move_to/step
  t=263 base=coffee(0.815) new=ac(0.683)  human: deliver_item/move_to/step
  t=264 base=coffee(0.815) new=ac(0.685)  human: deliver_item/move_to/step
  t=265 base=coffee(0.815) new=ac(0.686)  human: deliver_item/move_to/step
  t=266 base=coffee(0.815) new=ac(0.688)  human: deliver_item/move_to/step
  t=267 base=coffee(0.815) new=ac(0.689)  human: deliver_item/move_to/step
  t=268 base=coffee(0.815) new=ac(0.690)  human: deliver_item/move_to/step
  t=269 base=coffee(0.815) new=ac(0.692)  human: deliver_item/move_to/step
  t=270 base=coffee(0.815) new=ac(0.693)  human: deliver_item/move_to/step
  t=271 base=coffee(0.815) new=ac(0.693)  human: deliver_item/move_to/None
  t=272 base=coffee(0.962) new=ac(0.525)  human: deliver_item/pick_up/grasp
  t=273 base=coffee(0.962) new=ac(0.525)  human: deliver_item/pick_up/None
  t=274 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=275 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=276 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=277 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=278 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=279 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=280 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=281 base=coffee(0.959) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=282 base=coffee(0.959) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=283 base=coffee(0.959) new=d(item_6)(0.655)  human: deliver_item/move_to/step
