ticks: base 379 new 379  eps=0.0005
  t=190 base=unknown(0.993) new=ac(0.884)  human: ac_activation/move_to/step
  t=191 base=unknown(0.993) new=ac(0.878)  human: ac_activation/move_to/step
  t=192 base=unknown(0.993) new=ac(0.870)  human: ac_activation/move_to/step
  t=193 base=unknown(0.993) new=ac(0.862)  human: ac_activation/move_to/step
  t=194 base=unknown(0.993) new=ac(0.852)  human: ac_activation/move_to/step
  t=195 base=unknown(0.993) new=ac(0.841)  human: ac_activation/move_to/step
  t=196 base=unknown(0.993) new=ac(0.829)  human: ac_activation/move_to/step
  t=197 base=unknown(0.993) new=ac(0.815)  human: ac_activation/move_to/step
  t=198 base=unknown(0.993) new=ac(0.798)  human: ac_activation/move_to/step
  t=199 base=unknown(0.993) new=ac(0.780)  human: ac_activation/move_to/step
  t=200 base=unknown(0.993) new=ac(0.759)  human: ac_activation/move_to/step
  t=201 base=unknown(0.993) new=ac(0.736)  human: ac_activation/move_to/step
  t=202 base=unknown(0.993) new=ac(0.709)  human: ac_activation/move_to/step
  t=203 base=unknown(0.993) new=ac(0.680)  human: ac_activation/move_to/step
  t=204 base=unknown(0.993) new=ac(0.647)  human: ac_activation/move_to/step
  t=205 base=unknown(0.993) new=ac(0.611)  human: ac_activation/move_to/step
  t=206 base=unknown(0.993) new=ac(0.611)  human: ac_activation/move_to/None
  t=207 base=unknown(0.993) new=ac(0.611)  human: ac_activation/wait_at/stand
  t=208 base=unknown(0.993) new=ac(0.611)  human: ac_activation/wait_at/None
  t=209 base=unknown(0.993) new=ac(0.611)  human: None/None/None
  t=210 base=unknown(0.993) new=ac(0.522)  human: ac_activation/move_to/step
  t=332 base=unknown(0.993) new=ac(0.904)  human: deliver_item/place/None
  t=333 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=334 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=335 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=336 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=337 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=338 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=339 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=340 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=341 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=342 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=343 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=344 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=345 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=346 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=347 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=348 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=349 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=350 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=351 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=352 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=353 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=354 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=355 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=356 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=357 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=358 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=359 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=360 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=361 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=362 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=363 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=364 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=365 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=366 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=367 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=368 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=369 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=370 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=371 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=372 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=373 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=374 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=375 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=376 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=377 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=378 base=unknown(0.993) new=ac(0.904)  human: None/None/None

== changed-key episodes (|new-base| > eps) ==
  t=0-115: identical
  t=116-139 human@start deliver_item/place/None:
      ac           max Δ=+0.473 at t=116 (0.001 → 0.474)
      coffee       max Δ=+0.902 at t=139 (0.001 → 0.903)
      unknown      max Δ=-0.946 at t=116 (0.993 → 0.047)
  t=140-183 human@start coffee_break/move_to/step:
      coffee       max Δ=+0.903 at t=141 (0.001 → 0.904)
      unknown      max Δ=-0.903 at t=140 (0.993 → 0.090)
  t=184-184: identical
  t=185-233 human@start coffee_break/wait_at/None:
      ac           max Δ=+0.903 at t=185 (0.001 → 0.904)
      unknown      max Δ=-0.903 at t=185 (0.993 → 0.090)
  t=234-331: identical
  t=332-378 human@start deliver_item/place/None:
      ac           max Δ=+0.903 at t=332 (0.001 → 0.904)
