t,d_item_4,robot_phase_item_4,d_item_6,robot_phase_item_6,d_item_7,robot_phase_item_7,human_phase
0,438.01657091433907,approach_shelf,438.01657091433907,approach_shelf,438.01657091433907,approach_shelf,approach_shelf
1,436.69070675807797,approach_shelf,437.3134550687233,approach_shelf,436.4707253087196,approach_shelf,approach_shelf
2,435.3649415459482,approach_shelf,436.6103920771374,approach_shelf,434.9262623690318,approach_shelf,approach_shelf
3,434.03927618461915,approach_shelf,435.90738219532193,approach_shelf,433.3831968776414,approach_shelf,approach_shelf
4,432.71371159180205,approach_shelf,435.2044256806502,approach_shelf,431.84154381472575,approach_shelf,approach_shelf
5,431.3882486964177,approach_shelf,434.5015227921418,approach_shelf,430.30131836133086,approach_shelf,approach_shelf
6,430.0628884387669,approach_shelf,433.79867379047516,approach_shelf,428.7625359024803,approach_shelf,approach_shelf
7,428.73763177070435,approach_shelf,433.09587893800074,approach_shelf,427.22521203033483,approach_shelf,approach_shelf
8,427.41247965581545,approach_shelf,432.39313849875447,approach_shelf,425.68936254740487,approach_shelf,approach_shelf
9,426.08743306959616,approach_shelf,431.6904527384711,approach_shelf,424.1550034698163,approach_shelf,approach_shelf
10,424.76249299963644,approach_shelf,430.9878219245975,approach_shelf,422.6221510306296,approach_shelf,approach_shelf
11,423.43766044580724,approach_shelf,430.2852463263066,approach_shelf,421.09082168321515,approach_shelf,approach_shelf
12,422.11293642045035,approach_shelf,429.5827262145111,approach_shelf,419.561032104683,approach_shelf,approach_shelf
13,420.7883219485725,approach_shelf,428.880261861877,approach_shelf,418.03279919937023,approach_shelf,approach_shelf
14,419.46381806804243,approach_shelf,428.17785354283814,approach_shelf,416.5061401023851,approach_shelf,approach_shelf
15,418.13942582979183,approach_shelf,427.4755015336101,approach_shelf,414.98107218321036,approach_shelf,approach_shelf
16,416.81514629802035,approach_shelf,426.77320611220455,approach_shelf,413.4576130493652,approach_shelf,approach_shelf
17,415.4909805504039,approach_shelf,426.0709675584436,approach_shelf,411.9357805501276,approach_shelf,approach_shelf
18,414.1669296783075,approach_shelf,425.3687861539747,approach_shelf,410.415592780318,approach_shelf,approach_shelf
19,412.84299478700126,approach_shelf,424.6666621822847,approach_shelf,408.8970680841441,approach_shelf,approach_shelf
20,411.5191769958816,approach_shelf,423.9645959287155,approach_shelf,407.38022505911005,approach_shelf,approach_shelf
21,410.19547743869555,approach_shelf,423.26258768047836,approach_shelf,405.86508255998774,approach_shelf,approach_shelf
22,408.8718972637701,approach_shelf,422.5606377266695,approach_shelf,404.35165970285414,approach_shelf,approach_shelf
23,407.54843763424554,approach_shelf,421.8587463582852,approach_shelf,402.83997586919344,approach_shelf,approach_shelf
24,406.2250997283132,approach_shelf,421.15691386823727,approach_shelf,401.3300507100664,approach_shelf,approach_shelf
25,404.90188473945807,approach_shelf,420.45514055136846,approach_shelf,399.8219041503469,approach_shelf,approach_shelf
26,403.5787938767058,approach_shelf,419.7534267044684,approach_shelf,398.3155563930267,approach_shelf,approach_shelf
27,402.2558283648751,approach_shelf,419.0517726262895,approach_shelf,396.81102792359013,approach_shelf,approach_shelf
28,400.93298944483337,approach_shelf,418.35017861756285,approach_shelf,395.30833951445874,approach_shelf,approach_shelf
29,399.61027837375997,approach_shelf,417.64864498101446,approach_shelf,393.8075122295072,approach_shelf,approach_shelf
30,398.28769642541164,approach_shelf,416.9471720213815,approach_shelf,392.3085674286517,approach_shelf,approach_shelf
31,396.9652448903956,approach_shelf,416.24576004542917,approach_shelf,390.8115267725108,approach_shelf,approach_shelf
32,395.64292507644626,approach_shelf,415.5444093619667,approach_shelf,389.31641222714137,approach_shelf,approach_shelf
33,394.32073830870877,approach_shelf,414.8431202818651,approach_shelf,387.8232460688484,approach_shelf,approach_shelf
34,392.9986859300267,approach_shelf,414.14189311807314,approach_shelf,386.3320508890715,approach_shelf,approach_shelf
