step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_ac_activation,p_coffee_break,p_item_3,p_item_4,p_item_5,p_item_6,p_item_7,p_unknown
22,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-299.4,321.8,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
23,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-316.8,311.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
24,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-334.1,301.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
25,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-351.5,292.0,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
26,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-368.9,282.1,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
27,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-386.2,272.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
28,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-403.6,262.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
29,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-420.9,252.3,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
30,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-438.3,242.4,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
31,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-455.7,232.5,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
32,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-473.0,222.5,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
33,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-490.4,212.6,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
34,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-507.8,202.7,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
35,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-525.1,192.8,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
36,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-542.5,182.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
37,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-559.9,172.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
38,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-577.2,163.0,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
39,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-594.6,153.1,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
40,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-612.0,143.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
41,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-629.3,133.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
42,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-646.7,123.3,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
43,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-664.1,113.4,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
44,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-681.4,103.5,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
45,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-698.8,93.6,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
46,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-716.1,83.6,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
47,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-733.5,73.7,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
48,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-750.9,63.8,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
49,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-768.2,53.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
50,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-785.6,43.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
51,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-803.0,34.0,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
52,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-820.3,24.1,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
53,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-837.7,14.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
54,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-855.1,4.2,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
55,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-872.4,-5.7,,deliver_item,,True,item_3,0.3914,0.0175,0.3224,0.3914,0.0495,0.0803,0.0664,0.0236,0.0489
56,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-889.8,-15.6,,deliver_item,,True,item_3,0.3914,0.0175,0.3224,0.3914,0.0495,0.0803,0.0664,0.0236,0.0489
57,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-907.2,-25.5,,deliver_item,,True,item_3,0.3914,0.0175,0.3224,0.3914,0.0495,0.0803,0.0664,0.0236,0.0489
58,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-924.5,-35.4,,deliver_item,,True,item_3,0.3914,0.0175,0.3224,0.3914,0.0495,0.0803,0.0664,0.0236,0.0489
59,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,1,,-924.5,-35.4,,deliver_item,,True,item_3,0.3914,0.0175,0.3224,0.3914,0.0495,0.0803,0.0664,0.0236,0.0489
60,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",pick_up,1,grasp,-924.5,-35.4,item_3,deliver_item,,True,coffee_break,0.5494,0.0298,0.5494,0.3335,0.001,0.001,0.001,0.001,0.0834
