condition,chords,cos_min,cos_mean,cos_max,L_min,L_mean,L_max,L_equals_HIGH,L_below_NEUTRAL,L_correct_min,L_correct_mean,L_correct_max,L_wrong_min,L_wrong_mean,L_wrong_max
s00_off,588,-0.8052181143711254,0.5789438086809139,1.0000000000000002,0.4798246769763054,3.1789404269277792,4.0,186,2,3.9999999999999996,4.0,4.0,0.4798246769763054,3.071571098141409,4.0
s00_on,198,-0.38686486678648024,0.6193330474933817,1.0000000000000002,1.2956135097663637,3.257699442612101,4.0,96,0,3.9999999999999996,4.0,4.0,1.2956135097663637,2.869419151055343,4.0
s10_off,1679,-0.9794306414141004,0.39909271100044524,1.0000000000000002,0.14011024924250443,2.8282307864508556,4.0,124,302,3.9999999999999996,4.0,4.0,0.14011024924250443,2.734790669100295,3.982840066157323
s10_on,819,-0.9794306414141004,0.43081731615399227,1.0000000000000002,0.14011024924250443,2.890093766500296,4.0,124,158,3.9999999999999996,4.0,4.0,0.14011024924250443,2.692067330595314,3.912904041559773
s20_off,491,-0.8977849339699091,0.332684082437235,1.0000000000000002,0.29931937875867726,2.6987339607526093,4.0,111,67,3.9999999999999996,4.0,4.0,0.29931937875867726,2.5479053971125736,4.0
s20_on,161,-0.575560520140711,0.4093750393381528,1.0000000000000002,0.9276569857256137,2.8482813267093983,4.0,81,31,3.9999999999999996,4.0,4.0,0.9276569857256137,2.3143026690928465,4.0
s30_off,493,-0.9879415706302457,0.5234065069289936,1.0000000000000002,0.12351393727102093,3.070642688511535,4.0,97,26,3.9999999999999996,4.0,4.0,0.12351393727102093,2.9491441409086825,4.0
s30_on,166,-0.5688214311817426,0.7051025473588184,1.0000000000000002,0.940798209195602,3.424949967349691,4.0,77,20,3.9999999999999996,4.0,4.0,0.940798209195602,3.124235730092204,4.0
