condition,layout,step,trigger,row_class,admitted,hypothesis,human_actual,hyp_matches_actual,human_finished,degenerate,confidence,T_h,robot_current_task,robot_holding,pool_size,current_in_pool,cost_winner_logged,cost_winner,candidate,cand,is_current_task,cost,T_r,n_segments,phases,logged_feasible,logged_min_dist,unassessed_before_ticks,unassessed_before_share
s00_off,env_layout0,63,task_committed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.9950153837085672,14.909208982206618,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,2,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,76,76.26544979417903,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,True,326.65102103903394,61.35624081197241,0.804509000832713
s00_off,env_layout0,95,no_current_task,counterfactual,False,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.5022640765763593,46.84455443211718,,,1,False,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,73,73.18847314536538,4,approach_shelf|pick_up|carry_to_table|placement,,,26.3439187132482,0.35994628089760083
s00_off,env_layout0,109,theta_crossed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.9389662171422414,32.84455443211718,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,1,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,59,59.18847314536537,4,approach_shelf|pick_up|carry_to_table|placement,True,142.2786660376136,26.343918713248193,0.4450852896398967
s00_off,env_layout0,113,theta_crossed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.946945551603911,29.36371297463429,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,1,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,55,55.18847314536537,4,approach_shelf|pick_up|carry_to_table|placement,True,143.33851563969384,25.824760170731082,0.4679375728099809
s00_off,env_layout0,115,theta_crossed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.7538472167878119,27.363712974634296,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,1,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,53,53.18847314536537,4,approach_shelf|pick_up|carry_to_table|placement,True,143.33851563969387,25.824760170731075,0.4855330232953179
s00_off,env_layout0,131,task_committed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.9950064588012839,11.363712974634295,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,1,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,35,35.40115194571842,2,carry_to_table|placement,True,460.74877942168246,24.03743897108412,0.6790016044659056
s00_on,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.48764259479657657,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,79,78.79760132533269,4,approach_shelf|pick_up|carry_to_table|placement,,,1.0,0.012690741636554224
s00_on,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.48764259479657657,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,47,47.31089277272629,4,approach_shelf|pick_up|carry_to_table|placement,,,0.0,0.0
s00_on,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.48764259479657657,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,31,31.175122773890983,4,approach_shelf|pick_up|carry_to_table|placement,,,0.0,0.0
s00_on,env_layout0,7,task_committed,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.644641603667864,70.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,True,24,24.083423024705116,2,carry_to_table|placement,,,0.0,0.0
s00_on,env_layout0,7,task_committed,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.644641603667864,70.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,80,79.6960113434331,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,,,8.898410018100407,0.11165439609963153
s00_on,env_layout0,7,task_committed,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.644641603667864,70.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,44,43.694156390730214,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,,,0.0,0.0
s00_on,env_layout0,11,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.7683137591159451,66.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,True,20,20.08342302470512,2,carry_to_table|placement,True,355.8309798073141,0.0,0.0
s00_on,env_layout0,11,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.7683137591159451,66.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,84,83.6162483144573,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,True,145.4923009005327,16.818646989124602,0.20114089460070464
s00_on,env_layout0,11,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.7683137591159451,66.79760132533269,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,3,True,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,48,47.61439336175441,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,True,238.0153833654881,0.0,0.0
s00_on,env_layout0,33,no_current_task,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.9054580831686632,44.79760132533269,,,2,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,73,73.48333047724478,4,approach_shelf|pick_up|carry_to_table|placement,True,360.33618884523327,28.685729151912085,0.3903705638491039
s00_on,env_layout0,33,no_current_task,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.9054580831686632,44.79760132533269,,,2,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,61,61.17433413656631,4,approach_shelf|pick_up|carry_to_table|placement,True,133.101035227867,16.376732811233616,0.26770594306223267
s00_on,env_layout0,63,task_committed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.9950079939803209,14.909208982206618,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,2,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,True,30,30.033705586914504,2,carry_to_table|placement,True,282.4899320941578,15.124496604707886,0.5035841002349551
s00_on,env_layout0,63,task_committed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.9950079939803209,14.909208982206618,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,2,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,76,76.26544979417903,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,True,326.65102103903394,61.35624081197241,0.804509000832713
s00_on,env_layout0,81,theta_crossed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.9054545454545454,60.84455443211718,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,2,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,True,12,12.033705586914508,2,carry_to_table|placement,True,154.79429320225282,0.0,0.0
s00_on,env_layout0,81,theta_crossed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.9054545454545454,60.84455443211718,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,2,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,94,94.26538439007518,6,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,True,203.16099583581837,33.420829957958006,0.3545397939466393
s00_on,env_layout0,95,no_current_task,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.9054545454545455,46.84455443211718,,,1,False,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,73,73.18847314536538,4,approach_shelf|pick_up|carry_to_table|placement,True,142.2786660376136,26.3439187132482,0.35994628089760083
s00_on,env_layout0,131,task_committed,primary,True,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)","deliver_item(?item=item_2,?kitting_table=kitting_table_0)",True,False,False,0.995004000995004,11.363712974634295,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,1,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,35,35.40115194571842,2,carry_to_table|placement,True,460.74877942168246,24.03743897108412,0.6790016044659056
